"placename","start_date","end_date","deployment_duration","calculated_deployment_duration","count_of_obs_dates_at_place","deployment_id","longitude","latitude","feature_type_methodology","camera_id","camera_name","camera_functioning","sensor_height","sensor_orientation","remarks","habitat_type","trail"
"L49",2021-05-13,2021-05-18,5,NA,NA,"L49C3",-119.8789428,34.4196849,"Log",2028436,"C3","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"L58",2021-04-29,2021-05-04,5,NA,NA,"L58C8",-119.881312,34.419712,"Log",2028039,"C8","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"H17",2021-04-22,2021-04-27,5,NA,NA,"H17C6",-119.880326,34.42077,"Constructed Hibernacula",2028313,"C6","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"L30",2021-05-13,2021-05-18,5,NA,NA,"L30C10",-119.880816,34.420915,"Log",2028072,"C10","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"H46",2021-04-29,2021-05-02,3,NA,NA,"H46C2",-119.881389,34.420141,"Constructed Hibernacula",2028495,"C2","Memory Card","Knee height","Parallel","seems like camera ran out of memory on May 2.","Scrub","no"
"L56",2021-04-22,2021-04-27,5,NA,NA,"L56",-119.88033,34.420768,"Log",2028036,"C7","Camera Functioning","Knee height","Parallel",NA,NA,NA
"L28",2021-05-06,2021-05-11,5,NA,NA,"L28C7",-119.882601,34.420701,"Log",2028036,"C7","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"H2",2021-05-13,2021-05-18,5,NA,NA,"H2C11",-119.874441,34.419386,"Constructed Hibernacula",2028214,"C11","Camera Functioning","Knee height","Parallel",NA,"Marsh","yes"
"H35",2021-05-13,2021-05-18,5,NA,NA,"H35C5",-119.878348,34.419231,"Constructed Hibernacula",2028314,"C5","Camera Functioning","Knee height","Parallel",NA,"Grassland","no"
"H8",2021-04-29,2021-05-04,5,NA,NA,"H8C12",-119.881253,34.421972,"Constructed Hibernacula",2028303,"C12","Camera Functioning","Knee height","Parallel",NA,"Grassland","yes"
"L45",2021-04-22,2021-04-27,5,NA,NA,"L45C3",-119.879702,34.420394,"Log",2028436,"C3","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"H42",2021-05-06,2021-05-11,5,NA,NA,"H42C10",-119.8802218,34.420001,"Constructed Hibernacula",2028072,"C10","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"H42",2021-05-06,2021-05-11,5,NA,NA,"H42C9",-119.8802218,34.420001,"Constructed Hibernacula",2028071,"C9","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"B23",2021-05-06,2021-05-11,5,NA,NA,"B23C6",-119.878084,34.419932,"Boulder",2028313,"C6","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"H7",2021-05-06,2021-05-11,5,NA,NA,"H7C11",-119.8807533,34.4219544,"Constructed Hibernacula",2028214,"C11","Camera Functioning","Knee height","Parallel",NA,"Grassland","yes"
"B29",2021-05-20,2021-05-25,5,NA,NA,"B29C8",-119.8782324,34.419928,"Boulder",2028039,"C8","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"B23",2021-05-06,2021-05-11,5,NA,NA,"B23C5",-119.878084,34.419932,"Boulder",2028314,"C5","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"B12",2021-05-13,2021-05-18,5,NA,NA,"B12C14",-119.879871,34.421174,"Boulder",2028496,"C14","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"L49",2021-05-13,2021-05-18,5,NA,NA,"L49C4",-119.8789428,34.4196849,"Log",2028437,"C4","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
"H40",2021-05-13,2021-05-18,5,NA,NA,"H40C7",-119.87943,34.420427,"Constructed Hibernacula",2028036,"C7","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"H21",2021-05-20,2021-05-25,5,NA,NA,"H21C4",-119.877406,34.419903,"Constructed Hibernacula",2028437,"C4","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"B2",2021-04-22,2021-04-27,5,NA,NA,"B2C10",-119.878594,34.418968,"Boulder",2028072,"C10","Camera Functioning","Knee height","Parallel",NA,"Grassland","no"
"B11",2021-04-29,2021-05-04,5,NA,NA,"B11C6",-119.881008,34.421292,"Boulder",2028313,"C6","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"H13",2021-05-06,2021-05-11,5,NA,NA,"H13C14",-119.882581,34.420573,"Constructed Hibernacula",2028496,"C14","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"L34",2021-05-06,2021-05-11,5,NA,NA,"L34C3",-119.878862,34.420634,"Log",2028436,"C3","Camera Functioning","Knee height","Parallel",NA,"Marsh","no"
"H35",2021-05-13,2021-05-15,2,NA,NA,"H35C6",-119.878348,34.419231,"Constructed Hibernacula",2028313,"C6","Memory Card","Knee height","Parallel",NA,"Grassland","no"
"B2",2021-04-22,2021-04-26,4,NA,NA,"B2C9",-119.878594,34.418968,"Boulder",2028071,"C9","Camera Functioning","Knee height","Parallel","Ran out of memory","Grassland","no"
"H46",2021-04-29,2021-05-04,5,NA,NA,"H46C14",-119.881389,34.420141,"Constructed Hibernacula",2028496,"C14","Camera Functioning","Knee height","Parallel",NA,"Scrub","no"
